city,score,rank,region,SDG1,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,SDG10,SDG11,SDG12,SDG13,SDG15,SDG16,sdg1_depriv : Severe material deprivation rate in cities (%),sdg1_povrisk : People at risk of poverty or social exclusion (%),"sdg2_obesity : Obesity rate (BMI <30), %","sdg3_traffic : Traffic fatalities (per 10,000 population)","sdg3_infmort : Infant mortality rate (under 1) per 1,000 births","sdg3_doctors : General practitioners per (100,000 pop)",sdg3_lifee : Life expectancy (years),sdg3_smoke : Daily smokers (%),sdg3_active : Active lifestyle (%),sdg4_earlyleav : Early leavers from education (% 18-24),sdg4_secondary : Adults with upper secondary education (% 25-64),sdg4_neet : NEET rate (% 15-24),sdg4_edusat : Satisfaction with schools (%),sdg4_earlyedu : Four year-olds in early childhood education (%),sdg4_adultedu : Adult participation in learning (%),sdg4_uni : University appearances in rankings,sdg5_wgap : Gender wage gap (% male wage),sdg5_assemb : Women in regional assemblies (%),sdg5_emplogap : Gender gap in unemployment (%),sdg6_sectreat : Waste water treated (%),sdg6_consew : Population connected to Sewerage Treatment (%),sdg7_renenergy : Renewable energy generated (%),sdg8_gdppc : GDP per capita ,sdg8_gdp : 5 year average of Annual real GDP Growth Rates,sdg8_ltunemp : Long term unemployment Rate (%),sdg9_rd : R&D expenditure (%),sdg9_intcon : Access to Internet at Home (%),sdg9_patents : Patent applicants (per million pop),sdg9_design : Community design applications (per million pop.),sdg9_road : Potential road accessibility ,sdg9_trains : Direct trains to other cities (per million pop.),sdg10_gini : Gini Coefficient (1-100),sdg11_pm25 : Concentration PM2.5 (microgr/m3),sdg11_nox : Emission of nitrogen oxides (kg/km2),sdg11_sathous : Satisfaction affordable housing (%),sdg11_rburden : Housing cost overburden rate in urban areas (%),"sdg11_evstations : Recharging stations (per 10,000 people)",sdg11_satpubtran : Satisfaction public transport (%),sdg11_culture : Satisfaction cultural facilities (%),"sdg11_sights : Sights & landmarks (per 100,000)","sdg11_museums : Museums (per 100,000)","sdg11_concerts : Concerts & shows (per 100,000)",sdg12_munwaste : Municipal waste (kg/capita),sdg12_recycle : Municipal recycling rate (%),sdg12_chemstatgw : Ground water of good chemical status (%),sdg12_chemstatsw : Surface water of good chemical status (%),sdg13_co2 : CO2 Emissions (tonnes per capita),sdg15_nat2000 : Natura 2000 Area in good quality (%),sdg15_urbgreen : Urban green area (%),sdg15_soilseal : Soil sealing (%),sdg15_ecostatsw : Surface Water of Good Ecological Status (%),"sdg16_burglary : Burglaries (per 100,000)","sdg16_rob : Robberies (per 100,000)","sdg16_homicide : Intentional homocides (per 100,000)",sdg16_safety : Perception of neighborhood safety (%),sdg16_govqual : Quality of local government,Dashboard SDG1,Dashboard SDG2,Dashboard SDG3,Dashboard SDG4,Dashboard SDG5,Dashboard SDG6,Dashboard SDG7,Dashboard SDG8,Dashboard SDG9,Dashboard SDG10,Dashboard SDG11,Dashboard SDG12,Dashboard SDG13,Dashboard SDG15,Dashboard SDG16,Dashboard: Severe material deprivation rate in cities (%),Dashboard: People at risk of poverty or social exclusion (%),"Dashboard: Obesity rate (BMI <30), %","Dashboard: Traffic fatalities (per 10,000 population)","Dashboard: Infant mortality rate (under 1) per 1,000 births","Dashboard: General practitioners per (100,000 pop)",Dashboard: Life expectancy (years),Dashboard: Daily smokers (%),Dashboard: Active lifestyle (%),Dashboard: Early leavers from education (% 18-24),Dashboard: Adults with upper secondary education (% 25-64),Dashboard: NEET rate (% 15-24),Dashboard: Satisfaction with schools (%),Dashboard: Four year-olds in early childhood education (%),Dashboard: Adult participation in learning (%),Dashboard: University appearances in rankings,Dashboard: Gender wage gap (% male wage),Dashboard: Women in regional assemblies (%),Dashboard: Gender gap in unemployment (%),Dashboard: Waste water treated (%),Dashboard: Population connected to Sewerage Treatment (%),Dashboard: Renewable energy generated (%),Dashboard: GDP per capita ,Dashboard: 5 year average of Annual real GDP Growth Rates,Dashboard: Long term unemployment Rate (%),Dashboard: R&D expenditure (%),Dashboard: Access to Internet at Home (%),Dashboard: Patent applicants (per million pop),Dashboard: Community design applications (per million pop.),Dashboard: Potential road accessibility ,Dashboard: Direct trains to other cities (per million pop.),Dashboard: Gini Coefficient (1-100),Dashboard: Concentration PM2.5 (microgr/m3),Dashboard: Emission of nitrogen oxides (kg/km2),Dashboard: Satisfaction affordable housing (%),Dashboard: Housing cost overburden rate in urban areas (%),"Dashboard: Recharging stations (per 10,000 people)",Dashboard: Satisfaction public transport (%),Dashboard: Satisfaction cultural facilities (%),"Dashboard: Sights & landmarks (per 100,000)","Dashboard: Museums (per 100,000)","Dashboard: Concerts & shows (per 100,000)",Dashboard: Municipal waste (kg/capita),Dashboard: Municipal recycling rate (%),Dashboard: Ground water of good chemical status (%),Dashboard: Surface water of good chemical status (%),Dashboard: CO2 Emissions (tonnes per capita),Dashboard: Natura 2000 Area in good quality (%),Dashboard: Urban green area (%),Dashboard: Soil sealing (%),Dashboard: Surface Water of Good Ecological Status (%),"Dashboard: Burglaries (per 100,000)","Dashboard: Robberies (per 100,000)","Dashboard: Intentional homocides (per 100,000)",Dashboard: Perception of neighborhood safety (%),Dashboard: Quality of local government
Oslo,74.8,1,Northern Europe,82.1,87.0,80.0,72.7,66.0,100.0,98.0,98.6,52.5,82.3,63.2,60.2,45.3,90.9,81.3,1.5,16.1,7,0.13,1.974,529.57,83,11.2301414122664,27.9541175651369,8.5,84.2,4,80,96.2,22.5,4,15.7807857378673,,2.69999999999999,,,98,75000,,1.2,,98,145.463,5.666666667,15538924,,27.1,10.85657324,,14,7.1,0.68990444823392,89,53,123,103,27,433.890159037431,38.8,,,,,63.72164721427,10.97991632,,103.935604918719,143.680100306108,0.749896139384695,98,,yellow,green,green,yellow,yellow,gray,green,green,orange,green,orange,yellow,gray,green,yellow,green,yellow,green,green,green,green,green,green,green,yellow,yellow,green,green,green,green,yellow,red,,green,,,green,green,,green,,green,yellow,red,orange,,green,yellow,,red,yellow,orange,green,green,yellow,green,green,yellow,yellow,,,,,green,green,,green,yellow,green,green,
Stockholm,74.2,2,Northern Europe,84.0,74.6,85.4,79.0,76.0,100.0,91.9,93.0,97.7,72.8,57.4,54.8,48.1,48.2,79.1,1.6,14.4,11,0.043,1.684,483.04,82.9,9.59643686414725,37.0224840709625,8.1,86.9,5.8,67,93.5,31.6,9.5,16.6830708661417,49.7,2.69999999999999,,100,92.1,65000,1.09197687644314,1.2,3.81,97,396.849,143.3333333,,,30.9,5.5145110025,5.91421028526254,7,10.6,0.163063118648251,79,55,95,69,19,507.911385082446,46.8,98.5,0,8.1,37.1364653243848,24.1392447259393,24.61717225,24.1,270.023710258874,133.799899517862,1.05770671555622,96,153.5958,green,yellow,green,yellow,yellow,green,green,yellow,green,yellow,red,orange,red,orange,yellow,green,green,yellow,green,green,green,green,green,green,yellow,yellow,green,yellow,yellow,green,green,red,green,green,,green,green,green,yellow,green,green,green,green,green,,,yellow,green,yellow,red,yellow,red,green,green,orange,yellow,yellow,orange,yellow,green,red,red,yellow,orange,yellow,orange,yellow,yellow,green,green,green
Helsinki,71.3,3,Northern Europe,85.8,39.9,83.4,74.0,65.4,100.0,30.4,76.9,97.8,82.3,55.7,73.0,52.6,50.3,87.5,2.4,11.8,22.2,0.048,1.764,440.97,82,13.823946649264,43.0528766877848,8.1,88,8.5,79,86,30.4,4,20.3339882121807,45.5,4.8,100,100,32.1,51000,-1.19683263574369,1.9,3.61,98,410.553,142.3333333,,,27.1,8.965,18.2936959630086,8,5.6,0.408962255225408,93,55,85,61,16,506.20176756743,42,89.8,93.7,7.4,29.9026952946551,27.6865388266565,35.75341751,48.4,94.2444361295568,39.7364818136927,1.58701770684487,95,158.2649,green,orange,green,yellow,orange,green,orange,yellow,green,green,red,orange,red,orange,yellow,green,green,orange,green,green,green,green,green,green,yellow,yellow,green,green,yellow,green,yellow,red,green,green,green,green,orange,green,red,green,green,green,green,green,,,green,green,red,red,green,orange,green,green,orange,yellow,orange,orange,yellow,green,green,red,orange,yellow,orange,green,green,green,yellow,green,green
Copenhagen,68.7,4,Northern Europe,74.3,67.2,73.0,72.5,54.4,100.0,62.1,87.5,76.7,79.3,57.5,47.1,35.3,36.8,55.0,3.9,18.4,13.4,,2.644,440.39,80.8,19.4455572091909,35.1010621065024,7.2,85,6.1,64,97.6,30.6,4.25,40.9756097560976,41.5,4,100,,63,59000,0.337164987594174,1.6,4.59,98,161.751,53.33333333,,,28.3,11.265756345,15.9954284641785,8,22.4,0.732202255182946,75,54,148,78,34,,46.3,71.3,0,10.1,80.8973944003884,13.2040119034498,53.65606648,15.7,751.161063576076,763.320851028221,1.17675362440116,95,163.0745,yellow,yellow,green,yellow,orange,green,green,yellow,yellow,green,red,orange,red,red,red,green,yellow,yellow,,green,green,green,green,green,yellow,yellow,green,yellow,green,green,yellow,red,green,green,green,,green,green,orange,green,green,green,yellow,orange,,,green,yellow,red,red,red,yellow,green,green,yellow,yellow,green,,yellow,yellow,red,red,green,orange,red,red,red,red,green,green,green
Zurich,67.5,5,Western Europe,85.0,78.8,79.5,75.1,48.2,100.0,34.5,98.2,84.8,69.3,57.4,87.6,54.5,43.9,80.5,0,13.5,9.66,0.176,2.688,520.78,83.9,18.7958547585989,38.8465792645828,3.7,90.5,6.1,85,39.8,35.5,7.75,17.8237650200267,,9.19999999999999,,100,,71200,,1.4,,94,385.113,65.66666667,,,32.3,14.3042878188,,7,15.8,0.443557627880688,97,66,51,53,14,318.377755462376,52.5,,,7.1,,25.7592928377153,30.82717588,,360.558586906044,41.9363575450833,0.940879816716612,98,,green,green,green,orange,orange,green,gray,green,yellow,yellow,orange,green,red,orange,yellow,green,green,green,green,green,green,green,green,green,green,green,green,green,red,green,green,red,,orange,,green,,green,,green,,green,green,yellow,,,yellow,yellow,,red,orange,orange,green,green,orange,yellow,orange,green,green,,,red,,yellow,orange,,orange,green,green,green,
Lyon,64.9,6,Western Europe,73.2,70.6,63.4,72.9,68.6,98.1,34.5,85.5,68.9,60.5,55.9,71.6,64.1,46.9,65.8,4.8,17.1,12.3,0.319,3.033,339.28,83.9,19.1717729589269,22.6667641758463,8.4,82.7,8.9,,100,24.5,4.5,14.568345323741,47.1,8.2,100,,,43000,0.217039457269069,2.5,2.77,89,162.236,69,22394240,16.857143,35.8,14,6.51133540591107,,6.8,0.408577548018614,,,64,28,27,365.172035770363,42.9,80,67,5.6,39.4001404001404,9.33407688017999,37.51200892,51.9,302.884987570641,196.923626104235,0.430081629493278,,78.8318,yellow,yellow,yellow,yellow,orange,green,gray,yellow,yellow,orange,orange,yellow,red,red,orange,yellow,yellow,yellow,yellow,green,green,green,green,yellow,yellow,yellow,green,,green,green,yellow,orange,green,yellow,green,,,green,orange,green,yellow,yellow,yellow,yellow,green,yellow,orange,yellow,yellow,,green,orange,,,orange,orange,green,yellow,yellow,yellow,yellow,red,yellow,red,red,green,orange,orange,green,,yellow
Paris,64.7,7,Western Europe,73.2,75.5,65.8,75.7,68.2,98.1,94.9,90.7,81.2,55.3,60.8,31.9,50.6,21.0,49.6,4.8,17.1,10.7,0.176,3.912,394.41,84.2,22.5454539326001,26.04507849969,7.5,79.5,10.5,71,100,17.9,19.75,17.6770013882462,49.8,7.3,100,,95,55000,1.29402560494006,4,2.9,91,227.147,300.3333333,,,37.9,17.5,5.24340233351228,4,6.8,0.242911342859736,79,44,468,216,239,468.188728490899,42.9,17,5.9,7.7,,14.2518265490084,73.72691906,28.3,339.159233426801,849.823041378343,1.9249578113413,83,55.1796,yellow,yellow,yellow,yellow,orange,green,green,yellow,yellow,orange,orange,red,red,orange,orange,yellow,yellow,yellow,green,green,green,green,orange,green,yellow,yellow,yellow,yellow,green,yellow,green,red,green,yellow,green,,green,green,yellow,green,yellow,green,green,green,,,orange,yellow,yellow,red,green,orange,green,green,green,green,green,orange,yellow,red,red,red,,orange,red,orange,orange,red,yellow,yellow,yellow
Munich,64.2,8,Central and Eastern Europe,75.9,65.3,73.8,67.7,40.6,99.8,25.0,92.0,92.0,70.8,67.4,82.0,53.8,38.7,89.9,4.2,16.2,14,0.103,1.764,437.79,82.5,23.1018650024408,35.7181891291353,6.7,90.6,4,63,95.9,8.5,7.75,25.6091496767777,28.3,8.60000000000001,100,99.9,,61000,0.821705675042092,0.6,4.35,92,515.718,154,24430700,19.714286,31.7,14.7769699633333,5.58111275727764,3,17.9,1.24291385446025,86,60,122,61,30,392.855394548053,67.6,69.6,97.8,7.2,46.1954096786396,16.2730923694779,45.84835341,23.4,54.4969920801802,37.2191236637822,0.614627730227597,96,104.461,yellow,yellow,yellow,orange,orange,green,gray,yellow,green,yellow,red,yellow,red,orange,yellow,yellow,yellow,yellow,green,green,green,green,orange,green,yellow,green,green,orange,green,orange,green,red,orange,yellow,green,green,,green,yellow,green,green,green,green,green,green,green,yellow,yellow,yellow,red,red,green,green,green,yellow,yellow,green,yellow,green,yellow,green,red,yellow,orange,red,orange,green,green,green,green,yellow
TheHague,63.7,9,Western Europe,75.0,59.8,65.0,76.1,50.7,100.0,34.5,81.2,63.6,79.5,75.9,72.6,45.4,36.2,49.3,3.8,18,15.8,0.257,3.641,340.76,81.8,18.3732822141802,29.8855009610585,6.6,78,4.3,,96.2,19.8,,18.3579806221316,33.9,10.5,100,100,,42000,-0.466759118671307,2.3,2.19,99,80.242,37.33333333,23996722,34.714286,28.2,14.23,4.03809289896648,,12.2,6.9556093945224,,,42,31,18,482.350708502024,54.2,72.7,82.3,,57.074158440901,19.3279285630361,46.19045941,0.6,827.06177026114,136.067645057829,,,136.7804,yellow,yellow,green,yellow,orange,green,gray,yellow,orange,green,orange,yellow,gray,red,orange,green,yellow,yellow,green,green,green,green,green,green,yellow,yellow,green,,green,green,,red,yellow,orange,green,green,,green,red,green,yellow,green,orange,orange,green,green,green,yellow,yellow,,orange,green,,,orange,orange,yellow,orange,green,yellow,yellow,,green,orange,red,red,red,yellow,,,green
Eindhoven,63.5,10,Western Europe,78.4,70.6,65.9,73.1,49.3,100.0,34.5,89.9,89.7,79.5,68.5,42.1,45.4,10.6,60.7,3.8,14.9,12.3,0.32,3.042,246.76,81.6,16.402164718444,35.7686192647672,7.9,76.5,3.7,,95.9,17.9,,19.0738699007718,30.4,9.10000000000001,100,100,,48000,0.726132618647681,1.7,2.78,98,1430.109,147,24973290,17.642857,28.2,14.7670909,7.41424271229404,,12.2,4.2139090504527,,,11,9,5,599.726231842258,54.2,40,27.1,,3.23917995444191,10.3910740448552,44.30711146,0,704.287291454166,49.6217327436486,,,123.8241,green,yellow,yellow,yellow,orange,green,gray,yellow,yellow,green,red,red,gray,red,orange,green,green,yellow,yellow,green,yellow,green,green,green,yellow,orange,green,,green,yellow,,red,yellow,orange,green,green,,green,orange,green,yellow,green,green,green,green,yellow,green,yellow,yellow,,orange,green,,,red,red,red,red,green,red,red,,red,red,red,red,red,green,,,green
Amsterdam,63.5,11,Western Europe,75.0,72.8,66.7,76.8,60.4,100.0,13.2,97.3,66.7,79.5,75.7,73.5,32.7,15.5,52.5,3.8,18,11.6,0.225,3.796,467.44,81.6,24.2547916625495,32.9647291277238,6.2,81.6,4,75,95.7,20.4,,18.3579806221316,41.1,7.59999999999999,100,100,15.3,51000,1.82447990217106,1.7,1.72,99,95.23,86.66666667,,,28.2,15.5574063128571,8.44068227164099,10,12.2,4.95891134872767,82,56,166,135,81,466.671170731585,54.2,72.7,82.3,10.5,,4.38709015341988,34.06572939,0.6,775.588537661452,195.099855451435,,92,119.6079,yellow,yellow,yellow,yellow,orange,green,red,green,orange,green,orange,yellow,red,red,orange,green,yellow,yellow,green,green,green,green,orange,green,yellow,yellow,green,green,green,green,,red,green,yellow,green,green,red,green,green,green,orange,green,orange,yellow,,,green,yellow,yellow,red,orange,green,green,green,yellow,green,green,orange,green,yellow,yellow,red,,red,orange,red,red,orange,,green,green
